State,District,Crop,Season,Area_ha,Annual_Rainfall_mm,Temperature_C,Soil_pH,Fertilizer_kg_per_ha,Pesticide_kg_per_ha,Yield_ton_per_ha
Jharkhand,Hazaribag,Cotton,Kharif,130.7,1248.0,18.3,5.97,74.7,1.21,4.657
Tamil Nadu,Madurai,Cotton,Kharif,127.71,998.9,30.7,6.61,129.4,8.35,5.125
Madhya Pradesh,Jabalpur,Sugarcane,Whole Year,534.9,757.2,29.6,6.75,56.8,0.59,12.461
Odisha,Sambalpur,Chickpea,Rabi,424.97,1474.2,29.6,5.06,135.4,1.39,3.818
Assam,Kamrup,Mustard,Rabi,123.6,1876.0,24.9,4.87,147.6,9.97,6.151
Rajasthan,Bikaner,Wheat,Rabi,229.55,341.1,25.6,8.33,108.5,0.82,5.945
Assam,Nagaon,Maize,Kharif,107.13,2171.5,22.6,6.11,95.7,0.38,8.901
Rajasthan,Jaipur,Sugarcane,Whole Year,72.43,236.1,30.7,8.59,121.2,2.49,10.314
Madhya Pradesh,Jabalpur,Wheat,Rabi,12.83,1163.4,28.3,6.53,152.5,7.47,9.091
West Bengal,Murshidabad,Groundnut,Kharif,208.23,1587.9,23.9,5.82,73.3,2.39,6.426
Karnataka,Mysuru,Sugarcane,Whole Year,113.22,1220.5,30.1,6.89,187.3,3.06,13.0
Karnataka,Raichur,Soybean,Kharif,18.93,890.6,24.6,5.78,106.8,2.89,5.007
Andhra Pradesh,Guntur,Cotton,Kharif,105.35,911.3,31.1,6.69,113.6,2.0,4.757
Bihar,Gaya,Maize,Kharif,247.6,1112.8,22.7,6.71,103.5,0.1,7.703
Rajasthan,Bikaner,Maize,Kharif,9.54,428.8,28.9,7.68,122.6,1.99,6.662
Assam,Jorhat,Rice,Kharif,462.45,2033.0,29.2,6.03,82.2,13.13,10.626
Madhya Pradesh,Indore,Groundnut,Kharif,77.43,1094.3,20.6,6.86,137.6,2.3,5.9
Bihar,Patna,Maize,Kharif,158.7,778.7,24.2,7.01,160.8,3.29,8.586
Tamil Nadu,Thanjavur,Sugarcane,Whole Year,78.67,871.9,29.6,6.7,149.4,11.53,13.0
Assam,Kamrup,Chickpea,Rabi,322.9,2093.9,27.9,5.69,110.8,1.77,4.17
Odisha,Puri,Chickpea,Rabi,655.57,1516.7,32.2,6.14,144.8,2.61,4.577
Karnataka,Raichur,Rice,Kharif,376.21,649.7,33.8,7.24,93.4,4.14,7.371
Bihar,Gaya,Wheat,Rabi,580.51,1108.6,26.7,7.28,139.4,1.69,8.812
Bihar,Muzaffarpur,Cotton,Kharif,9.83,635.0,35.3,6.22,231.7,7.48,6.189
Gujarat,Surat,Chickpea,Rabi,20.89,507.8,33.1,6.89,147.4,0.8,2.661
Bihar,Muzaffarpur,Chickpea,Rabi,602.02,977.9,34.9,7.09,199.6,3.19,4.013
Rajasthan,Jodhpur,Wheat,Rabi,258.5,265.1,25.5,8.17,102.5,5.8,5.771
Karnataka,Raichur,Chickpea,Rabi,803.97,686.9,25.1,6.09,127.5,0.35,3.703
Haryana,Karnal,Maize,Kharif,76.18,636.1,25.3,7.12,162.8,7.99,8.413
Rajasthan,Bikaner,Barley,Rabi,1152.0,398.3,29.0,7.47,85.2,1.09,4.466
Andhra Pradesh,Guntur,Groundnut,Kharif,90.56,962.9,31.8,6.05,161.6,3.3,6.319
Gujarat,Rajkot,Barley,Rabi,100.16,875.3,28.5,7.29,103.2,3.31,5.806
Assam,Kamrup,Chickpea,Rabi,256.49,1984.8,19.1,5.67,125.0,1.17,4.297
Punjab,Ludhiana,Sugarcane,Whole Year,60.36,619.0,13.9,6.85,233.9,3.63,13.0
Jharkhand,Dhanbad,Maize,Kharif,328.35,1195.1,31.4,5.07,93.3,2.38,7.814
Haryana,Karnal,Maize,Kharif,82.78,617.9,28.8,7.86,161.3,5.99,8.107
Punjab,Amritsar,Sugarcane,Whole Year,105.8,604.0,27.9,7.74,226.5,3.17,13.0
Madhya Pradesh,Jabalpur,Rice,Kharif,206.77,758.9,19.3,7.14,178.1,4.96,9.175
Uttar Pradesh,Varanasi,Soybean,Kharif,618.61,1104.6,21.9,7.0,177.6,2.47,6.531
Bihar,Muzaffarpur,Barley,Rabi,101.57,1303.3,28.2,6.84,107.5,5.17,6.818
Maharashtra,Nagpur,Wheat,Rabi,28.39,906.0,25.5,6.86,174.6,13.54,8.986
Jharkhand,Ranchi,Rice,Kharif,162.75,1488.9,19.8,5.4,128.6,4.32,10.972
Assam,Kamrup,Rice,Kharif,113.28,2098.2,27.4,5.15,75.0,0.8,10.183
Odisha,Puri,Groundnut,Kharif,482.08,1388.3,26.5,5.03,132.0,1.27,7.037
Assam,Kamrup,Cotton,Kharif,97.97,1450.5,23.2,5.47,100.2,4.15,6.163
Uttar Pradesh,Kanpur,Groundnut,Kharif,13.69,784.6,32.3,6.47,175.5,0.85,5.616
Rajasthan,Jaipur,Barley,Rabi,187.69,273.8,34.3,8.37,69.1,1.87,2.858
West Bengal,Murshidabad,Chickpea,Rabi,193.5,1883.3,26.8,5.59,110.1,2.68,4.089
Haryana,Rohtak,Rice,Kharif,109.05,712.6,26.7,7.21,223.8,6.97,9.875
Madhya Pradesh,Jabalpur,Maize,Kharif,390.82,970.2,27.6,6.96,94.2,2.29,7.97
Andhra Pradesh,Krishna,Wheat,Rabi,529.34,912.8,28.4,6.68,164.4,0.88,8.198
Karnataka,Mysuru,Barley,Rabi,100.44,819.5,22.4,6.94,170.8,4.77,6.785
Haryana,Rohtak,Mustard,Rabi,98.66,494.4,20.5,7.57,141.5,8.96,4.505
Maharashtra,Pune,Groundnut,Kharif,235.93,1013.7,30.6,7.95,76.8,3.14,5.216
Odisha,Sambalpur,Groundnut,Kharif,190.72,1539.1,33.6,6.76,107.6,7.15,7.141
Rajasthan,Bikaner,Maize,Kharif,158.16,449.0,30.3,8.19,100.8,2.47,6.191
Maharashtra,Nagpur,Chickpea,Rabi,419.37,700.4,29.0,6.64,101.4,6.9,2.643
Odisha,Cuttack,Cotton,Kharif,8.58,1314.8,31.7,6.04,115.5,8.31,5.021
Haryana,Karnal,Cotton,Kharif,245.39,432.8,19.5,7.37,132.3,0.1,3.594
Maharashtra,Nashik,Mustard,Rabi,298.61,1028.0,32.9,6.92,124.6,2.99,5.027
Rajasthan,Jaipur,Barley,Rabi,134.81,371.8,16.6,7.6,73.9,5.11,4.95
Tamil Nadu,Coimbatore,Wheat,Rabi,18.64,1267.8,24.9,6.98,186.2,6.91,9.922
Andhra Pradesh,Guntur,Wheat,Rabi,9.32,563.1,29.1,6.96,156.1,1.84,6.695
Gujarat,Surat,Chickpea,Rabi,115.95,654.0,23.1,6.34,155.1,2.22,3.445
Madhya Pradesh,Indore,Groundnut,Kharif,127.18,938.3,27.4,6.76,167.9,6.13,6.273
Odisha,Sambalpur,Maize,Kharif,4.88,1320.7,27.4,7.06,68.5,7.98,7.788
Punjab,Patiala,Cotton,Kharif,418.47,765.7,32.3,6.49,202.1,4.91,6.129
West Bengal,Burdwan,Groundnut,Kharif,101.88,1417.3,23.1,6.67,158.0,2.08,7.148
Rajasthan,Jaipur,Maize,Kharif,35.4,402.9,34.6,8.73,117.0,4.08,5.924
Maharashtra,Pune,Chickpea,Rabi,35.35,794.6,31.7,7.11,151.1,4.71,3.094
Jharkhand,Hazaribag,Soybean,Kharif,2.4,1122.1,31.4,5.9,29.8,3.04,4.958
Punjab,Patiala,Soybean,Kharif,575.18,542.0,22.9,7.39,230.7,4.14,5.829
Jharkhand,Ranchi,Mustard,Rabi,44.49,1337.1,24.4,5.22,132.2,1.69,5.965
Rajasthan,Bikaner,Groundnut,Kharif,187.11,376.5,25.5,8.24,47.2,0.58,3.375
Punjab,Patiala,Mustard,Rabi,133.91,507.9,20.6,7.58,260.4,4.93,5.94
Odisha,Sambalpur,Soybean,Kharif,11.72,997.0,27.4,5.69,139.2,0.19,5.808
Uttar Pradesh,Kanpur,Wheat,Rabi,493.44,831.9,34.5,6.74,87.9,4.24,6.308
Uttar Pradesh,Kanpur,Mustard,Rabi,359.96,660.2,35.8,7.5,102.0,2.86,3.749
Andhra Pradesh,Krishna,Mustard,Rabi,84.12,836.4,40.5,6.63,101.8,1.34,3.85
West Bengal,Murshidabad,Soybean,Kharif,454.68,1795.3,26.5,7.24,155.0,8.12,7.963
Punjab,Patiala,Barley,Rabi,63.79,608.4,21.5,7.41,235.1,2.02,6.984
Jharkhand,Hazaribag,Cotton,Kharif,152.24,1072.1,21.7,6.32,109.9,4.98,5.259
Madhya Pradesh,Jabalpur,Chickpea,Rabi,185.39,1087.5,21.6,6.41,143.7,1.07,4.276
Uttar Pradesh,Varanasi,Cotton,Kharif,9.71,662.0,29.6,7.07,135.2,3.32,4.761
Haryana,Karnal,Groundnut,Kharif,28.28,515.7,23.9,7.29,142.5,1.98,4.985
Bihar,Gaya,Rice,Kharif,879.16,808.9,31.5,6.93,125.2,2.24,8.693
West Bengal,Nadia,Groundnut,Kharif,262.77,1752.3,28.7,6.09,110.5,3.58,7.079
Rajasthan,Jodhpur,Rice,Kharif,24.35,203.7,33.0,7.51,30.1,6.35,4.241
Haryana,Hisar,Sugarcane,Whole Year,103.34,573.7,25.4,7.3,140.8,1.69,12.653
Karnataka,Mysuru,Cotton,Kharif,0.88,826.3,25.8,6.55,171.5,1.12,5.429
Karnataka,Mysuru,Chickpea,Rabi,89.53,937.5,26.4,6.67,139.3,1.03,3.379
Punjab,Amritsar,Sugarcane,Whole Year,63.68,557.6,23.6,6.77,192.2,0.74,13.0
Haryana,Hisar,Rice,Kharif,3.74,585.4,19.1,6.79,151.9,1.32,7.808
Gujarat,Surat,Cotton,Kharif,310.11,677.5,29.5,7.77,213.5,1.03,5.745
Bihar,Patna,Groundnut,Kharif,360.12,1243.2,26.7,7.02,121.9,7.72,7.262
Gujarat,Surat,Cotton,Kharif,519.51,652.2,24.1,6.62,120.6,1.65,4.382
Jharkhand,Dhanbad,Soybean,Kharif,237.35,1521.6,25.2,4.82,105.4,3.12,6.634
Andhra Pradesh,Guntur,Cotton,Kharif,124.87,684.2,29.6,6.69,146.7,5.95,4.62
Haryana,Hisar,Cotton,Kharif,157.5,831.2,20.5,7.79,173.5,2.32,4.65
Rajasthan,Jodhpur,Maize,Kharif,62.2,499.1,26.7,8.38,81.7,1.14,5.153
Odisha,Puri,Cotton,Kharif,30.77,1537.9,39.1,5.25,44.2,1.74,4.698
Karnataka,Mysuru,Sugarcane,Whole Year,40.34,705.0,29.7,7.58,114.2,3.29,12.887
Karnataka,Mysuru,Wheat,Rabi,14.73,1051.2,20.7,6.43,170.4,3.94,9.207
Andhra Pradesh,Krishna,Sugarcane,Whole Year,107.47,901.7,36.4,6.53,156.5,5.41,13.0
Tamil Nadu,Coimbatore,Maize,Kharif,238.8,1448.4,29.7,6.01,194.8,1.54,11.136
Maharashtra,Nashik,Mustard,Rabi,101.15,1181.1,12.0,6.7,152.8,0.67,5.653
Tamil Nadu,Coimbatore,Chickpea,Rabi,3.61,953.2,31.3,6.92,213.2,0.41,3.967
Rajasthan,Bikaner,Groundnut,Kharif,207.31,287.6,38.3,7.48,52.7,2.77,2.911
Gujarat,Rajkot,Cotton,Kharif,119.79,839.1,28.6,7.85,163.2,10.15,4.715
Assam,Kamrup,Sugarcane,Whole Year,286.31,2801.7,28.2,5.52,126.5,2.6,13.0
Bihar,Muzaffarpur,Groundnut,Kharif,26.21,843.4,20.8,6.18,117.5,3.15,4.989
Madhya Pradesh,Bhopal,Soybean,Kharif,304.18,831.4,17.8,6.78,99.8,0.58,4.934
Bihar,Gaya,Mustard,Rabi,4.71,1091.8,34.4,4.77,182.2,2.5,4.956
Jharkhand,Dhanbad,Cotton,Kharif,69.72,1139.3,37.0,5.63,122.6,7.22,5.254
Punjab,Patiala,Mustard,Rabi,243.01,749.6,21.2,7.14,211.4,9.72,6.356
Jharkhand,Dhanbad,Maize,Kharif,700.12,1361.3,25.9,5.36,79.1,0.1,8.298
Odisha,Sambalpur,Rice,Kharif,14.52,1584.3,32.5,5.66,126.1,2.98,11.266
Maharashtra,Pune,Chickpea,Rabi,483.27,572.2,29.0,7.16,124.8,4.4,3.116
Tamil Nadu,Thanjavur,Barley,Rabi,26.18,1196.2,31.8,6.74,155.7,7.59,7.434
Odisha,Puri,Groundnut,Kharif,337.26,1289.1,26.0,5.86,108.4,1.56,6.075
Haryana,Karnal,Cotton,Kharif,1336.93,541.9,26.7,7.45,129.9,6.84,4.417
West Bengal,Burdwan,Sugarcane,Whole Year,37.82,1823.3,23.7,5.33,77.5,0.43,13.0
Tamil Nadu,Thanjavur,Rice,Kharif,63.27,1266.1,30.0,5.7,153.0,0.21,10.538
Gujarat,Rajkot,Barley,Rabi,400.15,897.3,27.1,7.08,116.8,7.57,6.276
Andhra Pradesh,Kurnool,Soybean,Kharif,84.8,907.9,26.1,6.59,159.6,10.45,5.89
Haryana,Rohtak,Groundnut,Kharif,164.68,463.7,20.9,7.41,172.0,1.7,5.189
Haryana,Karnal,Rice,Kharif,25.81,420.8,19.8,6.96,184.2,2.97,7.806
Haryana,Rohtak,Soybean,Kharif,27.85,572.1,21.6,6.74,201.4,2.4,5.652
Haryana,Rohtak,Soybean,Kharif,206.79,464.9,28.3,7.99,147.0,1.36,4.627
Uttar Pradesh,Kanpur,Wheat,Rabi,280.87,900.9,29.7,6.96,137.4,3.06,7.739
Haryana,Karnal,Barley,Rabi,118.66,508.9,25.7,7.77,233.0,7.82,7.379
Karnataka,Mysuru,Wheat,Rabi,390.33,748.4,24.2,6.76,96.7,3.97,7.267
Bihar,Patna,Barley,Rabi,205.2,731.7,18.7,7.73,173.1,0.89,6.725
Maharashtra,Pune,Rice,Kharif,172.53,795.6,25.2,7.16,141.5,2.62,8.762
Uttar Pradesh,Varanasi,Cotton,Kharif,55.03,731.8,23.3,6.8,282.5,0.88,6.327
Bihar,Patna,Cotton,Kharif,340.66,1090.5,30.0,7.51,117.6,1.2,5.443
Madhya Pradesh,Jabalpur,Mustard,Rabi,123.91,870.0,31.6,6.59,144.9,3.52,5.034
Odisha,Cuttack,Rice,Kharif,726.32,1554.4,29.9,5.66,143.8,1.19,11.529
Tamil Nadu,Thanjavur,Groundnut,Kharif,283.87,1359.1,33.5,6.21,140.0,0.3,6.649
Madhya Pradesh,Indore,Rice,Kharif,552.21,635.7,22.0,7.46,138.0,5.69,8.531
Punjab,Amritsar,Cotton,Kharif,378.98,526.6,17.8,7.17,280.2,3.2,5.597
Rajasthan,Jodhpur,Maize,Kharif,452.13,138.3,29.9,7.61,88.8,4.12,5.749
Uttar Pradesh,Varanasi,Maize,Kharif,107.15,746.5,24.1,6.89,179.9,7.54,9.141
Odisha,Puri,Sugarcane,Whole Year,776.69,1424.3,30.4,5.82,102.8,1.23,13.0
Rajasthan,Bikaner,Rice,Kharif,231.72,309.9,35.3,8.09,23.2,5.17,4.404
Maharashtra,Nashik,Sugarcane,Whole Year,517.02,993.0,25.5,7.08,114.6,6.13,13.0
Karnataka,Dharwad,Groundnut,Kharif,3.99,727.2,28.9,6.26,118.7,0.32,5.214
Tamil Nadu,Madurai,Rice,Kharif,315.08,1035.1,29.8,6.94,162.5,2.77,10.519
West Bengal,Burdwan,Sugarcane,Whole Year,97.93,1242.3,26.9,5.82,102.7,6.9,13.0
Assam,Kamrup,Barley,Rabi,21.81,2532.6,28.4,5.04,103.0,2.98,6.283
Madhya Pradesh,Jabalpur,Mustard,Rabi,586.71,591.0,31.1,6.59,104.0,9.77,4.264
Gujarat,Rajkot,Mustard,Rabi,24.5,831.2,33.8,7.88,155.2,9.19,4.665
Gujarat,Rajkot,Wheat,Rabi,481.49,760.8,25.7,6.97,140.1,4.28,8.069
Jharkhand,Ranchi,Soybean,Kharif,58.23,1218.9,17.5,6.69,70.1,11.07,5.952
Odisha,Puri,Chickpea,Rabi,122.53,1198.0,31.2,5.31,161.7,17.57,4.089
Uttar Pradesh,Varanasi,Barley,Rabi,282.93,775.2,21.4,7.59,100.1,4.85,6.329
Punjab,Amritsar,Cotton,Kharif,47.76,623.9,23.2,7.08,185.6,0.74,4.699
Punjab,Patiala,Rice,Kharif,32.29,583.7,27.1,6.24,159.2,11.08,8.418
Rajasthan,Jodhpur,Rice,Kharif,176.49,325.0,29.2,7.82,25.0,0.79,4.904
Uttar Pradesh,Kanpur,Maize,Kharif,56.08,1149.7,33.1,6.14,176.7,0.52,9.649
Uttar Pradesh,Kanpur,Soybean,Kharif,10.21,1007.6,30.3,6.86,122.6,0.1,5.392
Odisha,Puri,Groundnut,Kharif,111.22,1530.4,27.1,5.52,145.6,0.72,7.075
Madhya Pradesh,Bhopal,Chickpea,Rabi,311.13,808.2,36.5,6.84,89.9,2.12,3.038
Odisha,Sambalpur,Wheat,Rabi,172.88,1399.7,20.7,6.25,59.6,0.81,8.031
Gujarat,Surat,Sugarcane,Whole Year,187.28,836.7,35.1,7.02,168.8,3.88,13.0
West Bengal,Burdwan,Soybean,Kharif,110.1,1250.5,27.3,6.73,178.5,8.99,7.1
Haryana,Rohtak,Chickpea,Rabi,94.58,438.4,18.6,7.26,214.9,0.92,4.18
Tamil Nadu,Coimbatore,Cotton,Kharif,363.44,706.8,28.8,7.09,95.4,0.71,3.762
Madhya Pradesh,Indore,Chickpea,Rabi,442.03,688.6,26.1,6.62,27.7,0.26,2.716
Uttar Pradesh,Kanpur,Wheat,Rabi,10.96,1014.6,28.9,6.7,125.6,11.77,7.911
Tamil Nadu,Madurai,Sugarcane,Whole Year,27.96,1290.6,33.1,6.18,85.6,0.93,13.0
Jharkhand,Dhanbad,Chickpea,Rabi,27.33,1282.5,38.7,5.78,136.4,0.1,3.444
Assam,Jorhat,Barley,Rabi,307.21,2872.5,25.7,4.76,27.1,0.3,5.387
Punjab,Amritsar,Barley,Rabi,13.99,509.0,19.7,6.99,161.4,0.12,6.385
Tamil Nadu,Thanjavur,Wheat,Rabi,701.82,1333.4,29.5,6.39,197.7,5.24,10.463
Tamil Nadu,Thanjavur,Wheat,Rabi,800.47,1171.4,24.5,7.15,160.1,1.85,9.123
Bihar,Patna,Wheat,Rabi,209.04,1090.9,29.3,6.53,81.3,6.37,7.547
Jharkhand,Hazaribag,Cotton,Kharif,222.73,994.5,19.0,6.18,147.5,1.73,5.075
Bihar,Gaya,Cotton,Kharif,82.8,1048.7,33.8,7.04,164.8,1.81,5.548
Tamil Nadu,Thanjavur,Soybean,Kharif,46.07,1042.7,35.7,6.79,151.7,1.31,5.473
Assam,Nagaon,Rice,Kharif,37.84,1847.0,28.3,5.6,113.2,3.98,11.382
Assam,Nagaon,Soybean,Kharif,448.84,2190.8,25.5,6.14,87.4,11.84,6.982
Odisha,Sambalpur,Maize,Kharif,428.09,1392.4,29.4,6.01,105.7,0.39,9.241
Jharkhand,Hazaribag,Groundnut,Kharif,373.99,1004.4,30.1,5.77,105.1,10.17,5.584
West Bengal,Burdwan,Barley,Rabi,620.34,1632.7,29.0,5.29,53.0,2.31,6.074
Maharashtra,Pune,Barley,Rabi,187.65,863.6,35.8,6.56,135.4,0.58,5.613
Tamil Nadu,Madurai,Groundnut,Kharif,92.41,1259.3,29.6,6.22,173.3,4.87,7.149
Odisha,Sambalpur,Cotton,Kharif,160.36,1560.4,34.9,5.86,96.0,2.1,5.716
Punjab,Patiala,Sugarcane,Whole Year,410.01,687.7,23.9,7.39,181.7,3.21,13.0
Punjab,Patiala,Soybean,Kharif,72.44,644.1,14.6,8.07,220.9,2.72,5.094
Maharashtra,Nagpur,Soybean,Kharif,48.15,900.0,34.1,6.97,184.2,1.6,5.862
Gujarat,Ahmedabad,Soybean,Kharif,162.58,521.9,33.3,6.64,230.8,2.55,5.456
Madhya Pradesh,Indore,Rice,Kharif,58.1,1047.2,28.9,7.39,119.1,1.41,9.338
Haryana,Karnal,Mustard,Rabi,25.83,562.7,29.6,7.35,192.8,0.1,4.804
Madhya Pradesh,Bhopal,Groundnut,Kharif,126.19,900.3,36.7,6.8,178.7,2.87,6.143
Bihar,Muzaffarpur,Wheat,Rabi,304.16,1162.7,28.9,7.08,176.4,1.98,8.768
Madhya Pradesh,Jabalpur,Cotton,Kharif,69.16,1072.4,34.1,7.48,171.3,1.5,5.365
Gujarat,Rajkot,Mustard,Rabi,122.44,617.6,35.3,7.25,148.8,0.1,4.146
Maharashtra,Nashik,Barley,Rabi,46.41,1556.9,33.0,7.08,97.4,0.27,6.351
Haryana,Karnal,Barley,Rabi,3.34,662.3,25.2,7.56,201.7,0.72,6.329
Madhya Pradesh,Indore,Mustard,Rabi,93.71,1139.9,27.0,6.52,81.1,1.56,4.298
Andhra Pradesh,Guntur,Chickpea,Rabi,453.11,1060.9,31.1,6.37,66.3,1.11,2.913
West Bengal,Burdwan,Barley,Rabi,32.37,1262.5,27.4,6.0,203.3,4.47,8.301
Jharkhand,Ranchi,Cotton,Kharif,186.06,1172.7,23.1,5.53,91.4,3.99,5.15
Rajasthan,Jodhpur,Barley,Rabi,189.93,387.0,36.8,7.17,163.7,3.55,5.465
Andhra Pradesh,Krishna,Maize,Kharif,219.84,693.3,22.9,7.15,170.2,8.05,8.728
Assam,Nagaon,Barley,Rabi,25.97,2097.9,25.8,5.63,38.4,0.12,5.989
Andhra Pradesh,Kurnool,Groundnut,Kharif,230.65,884.0,27.0,6.7,121.2,2.67,5.423
Uttar Pradesh,Agra,Sugarcane,Whole Year,15.66,958.6,18.4,6.04,238.6,2.85,13.0
Rajasthan,Bikaner,Maize,Kharif,185.09,115.7,25.7,7.7,140.5,7.91,6.086
Maharashtra,Nashik,Wheat,Rabi,171.81,807.8,36.5,6.84,144.5,3.6,7.647
Gujarat,Rajkot,Cotton,Kharif,182.9,567.3,28.1,7.29,127.1,0.29,3.954
Tamil Nadu,Madurai,Cotton,Kharif,255.96,814.5,27.3,6.85,141.3,4.8,5.556
Maharashtra,Pune,Sugarcane,Whole Year,56.13,851.9,27.5,6.52,139.6,6.77,13.0
Madhya Pradesh,Indore,Groundnut,Kharif,53.2,922.0,17.2,6.71,180.2,1.08,5.89
Odisha,Cuttack,Chickpea,Rabi,284.13,1196.9,37.0,6.6,94.0,1.36,3.293
West Bengal,Nadia,Cotton,Kharif,32.66,1337.3,33.0,6.75,124.6,2.03,5.647
Jharkhand,Hazaribag,Mustard,Rabi,48.16,1407.7,25.1,6.63,120.8,4.41,6.335
Bihar,Muzaffarpur,Barley,Rabi,549.48,1149.6,28.2,6.67,128.5,1.05,6.391
Rajasthan,Jaipur,Wheat,Rabi,10.26,409.6,25.7,7.72,154.0,3.29,6.509
Madhya Pradesh,Jabalpur,Sugarcane,Whole Year,23.91,763.4,21.8,6.97,125.2,4.36,13.0
Maharashtra,Nashik,Barley,Rabi,73.07,1055.1,32.8,6.93,176.9,0.86,7.103
Haryana,Rohtak,Barley,Rabi,264.96,404.8,24.6,7.69,242.9,1.6,7.053
Odisha,Puri,Sugarcane,Whole Year,5.74,1397.4,27.6,5.74,70.9,0.52,13.0
Bihar,Patna,Sugarcane,Whole Year,32.68,1132.7,23.7,6.26,80.7,3.33,13.0
Karnataka,Mysuru,Cotton,Kharif,252.96,965.9,27.7,6.22,85.3,3.31,4.623
Andhra Pradesh,Krishna,Rice,Kharif,227.93,726.4,29.5,7.4,155.6,5.62,8.418
Uttar Pradesh,Varanasi,Maize,Kharif,622.07,643.7,20.4,7.24,135.4,1.87,8.018
Uttar Pradesh,Kanpur,Sugarcane,Whole Year,272.69,816.7,20.1,5.71,132.9,3.14,13.0
Tamil Nadu,Madurai,Mustard,Rabi,70.7,1550.6,28.5,6.85,93.9,0.2,5.318
Assam,Kamrup,Chickpea,Rabi,1383.45,1247.1,29.0,5.33,64.2,5.52,3.567
Bihar,Muzaffarpur,Sugarcane,Whole Year,233.02,843.2,36.5,6.08,141.4,11.24,13.0
Punjab,Ludhiana,Maize,Kharif,33.41,378.2,25.9,7.22,308.6,2.37,9.876
Andhra Pradesh,Guntur,Chickpea,Rabi,195.91,569.8,31.4,6.9,122.7,2.21,2.666
Rajasthan,Jaipur,Soybean,Kharif,301.91,237.8,33.7,6.57,58.9,3.08,2.787
Madhya Pradesh,Indore,Barley,Rabi,195.24,794.2,26.8,6.86,143.1,3.84,6.021
Bihar,Gaya,Groundnut,Kharif,657.97,1090.3,28.5,6.99,123.8,0.29,6.05
Haryana,Hisar,Groundnut,Kharif,767.54,584.7,29.7,6.89,187.6,1.65,5.847
Karnataka,Mysuru,Maize,Kharif,43.78,713.1,22.1,6.07,125.6,8.04,7.709
Maharashtra,Pune,Barley,Rabi,1111.77,1058.3,31.1,7.04,132.1,0.43,6.438
Karnataka,Mysuru,Maize,Kharif,409.42,1061.5,27.0,6.36,122.0,9.82,8.59
Madhya Pradesh,Bhopal,Cotton,Kharif,120.33,1043.4,12.0,7.49,141.9,5.95,4.399
Karnataka,Mysuru,Mustard,Rabi,151.09,938.9,24.5,6.79,145.5,5.58,5.659
Gujarat,Rajkot,Mustard,Rabi,6.36,766.9,37.7,7.46,100.6,0.44,3.342
Madhya Pradesh,Jabalpur,Sugarcane,Whole Year,12.54,603.6,25.1,7.16,102.3,4.59,11.846
Tamil Nadu,Madurai,Chickpea,Rabi,10.78,1329.2,32.5,6.71,115.2,1.21,3.636
Odisha,Sambalpur,Barley,Rabi,4.99,1191.7,28.9,5.88,111.4,0.27,6.329
Uttar Pradesh,Kanpur,Wheat,Rabi,8.84,873.9,28.2,6.83,201.9,12.82,9.033
West Bengal,Nadia,Maize,Kharif,155.33,1229.0,32.0,6.44,152.1,3.05,9.632
Maharashtra,Nagpur,Rice,Kharif,58.97,1405.5,34.6,6.6,71.7,7.55,9.975
West Bengal,Nadia,Wheat,Rabi,60.33,1370.0,23.8,5.49,115.5,4.54,9.109
Jharkhand,Hazaribag,Wheat,Rabi,485.61,1284.9,27.2,5.07,82.4,0.67,7.474
Odisha,Puri,Soybean,Kharif,79.88,1405.0,29.5,6.47,97.8,4.27,6.512
Karnataka,Mysuru,Chickpea,Rabi,43.22,779.3,30.2,6.37,168.0,12.77,3.889
Jharkhand,Hazaribag,Mustard,Rabi,62.6,866.3,27.7,4.36,132.8,10.12,4.386
Haryana,Karnal,Cotton,Kharif,578.23,627.8,26.3,7.8,202.0,1.12,5.216
Jharkhand,Dhanbad,Maize,Kharif,88.04,943.1,20.7,5.56,85.6,0.8,6.543
Haryana,Hisar,Cotton,Kharif,3.67,477.4,30.6,7.88,194.0,5.67,5.002
Odisha,Cuttack,Groundnut,Kharif,80.37,1266.5,31.8,7.54,129.9,0.81,6.269
Jharkhand,Dhanbad,Chickpea,Rabi,37.45,1312.4,28.3,4.44,100.8,7.06,3.634
West Bengal,Nadia,Sugarcane,Whole Year,87.2,1506.0,32.0,6.91,119.3,2.16,13.0
Tamil Nadu,Thanjavur,Wheat,Rabi,577.67,895.1,29.3,6.67,133.5,3.3,8.154
Jharkhand,Ranchi,Maize,Kharif,21.56,1358.3,22.9,5.72,171.6,1.07,9.567
Jharkhand,Ranchi,Cotton,Kharif,76.78,1669.8,31.7,5.25,103.2,0.18,5.194
Karnataka,Dharwad,Sugarcane,Whole Year,358.44,804.1,34.7,7.07,166.5,1.19,13.0
Assam,Nagaon,Soybean,Kharif,9.4,1607.9,23.3,5.06,88.0,0.41,6.305
Tamil Nadu,Thanjavur,Mustard,Rabi,860.82,776.2,24.4,5.81,87.6,1.59,4.058
Jharkhand,Ranchi,Mustard,Rabi,348.52,767.7,27.6,7.55,115.3,2.46,4.521
Odisha,Puri,Chickpea,Rabi,37.32,1506.0,30.7,6.52,108.6,1.32,3.847
Uttar Pradesh,Varanasi,Mustard,Rabi,409.33,967.3,32.3,6.77,145.8,0.1,4.55
Rajasthan,Jaipur,Maize,Kharif,9.55,274.9,27.8,7.53,138.5,0.1,6.261
